Generating only bubble_chart...
[renderer_short] Rendering Short (bubble_chart): 2010–2022
[renderer_short] Bubble chart: 13 steps, ~20s
[debug_bubble] Medium Entity: Apple, flag_w: 0, radius: 4.89
[debug_bubble] Medium Entity: Microsoft, flag_w: 0, radius: 4.31
[debug_bubble] Medium Entity: Apple, flag_w: 0, radius: 5.91
[debug_bubble] Medium Entity: Microsoft, flag_w: 0, radius: 4.93
[debug_bubble] Medium Entity: Google, flag_w: 0, radius: 4.40
[debug_bubble] Medium Entity: Apple, flag_w: 0, radius: 6.75
[debug_bubble] Medium Entity: Microsoft, flag_w: 0, radius: 6.27
[debug_bubble] Medium Entity: Google, flag_w: 0, radius: 5.32
[debug_bubble] Medium Entity: Amazon, flag_w: 0, radius: 4.49
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 7.70
[debug_bubble] Medium Entity: Microsoft, flag_w: 0, radius: 7.02
[debug_bubble] Medium Entity: Google, flag_w: 0, radius: 5.85
[debug_bubble] Medium Entity: Amazon, flag_w: 0, radius: 5.31
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 8.59
[debug_bubble] Large Entity: Microsoft, flag_drawn: 0, radius: 7.85
[debug_bubble] Medium Entity: Google, flag_w: 0, radius: 6.85
[debug_bubble] Medium Entity: Amazon, flag_w: 0, radius: 6.20
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 9.57
[debug_bubble] Large Entity: Microsoft, flag_drawn: 0, radius: 9.02
[debug_bubble] Large Entity: Google, flag_drawn: 0, radius: 7.52
[debug_bubble] Medium Entity: Amazon, flag_w: 0, radius: 6.85
[debug_bubble] Medium Entity: Tesla, flag_w: 0, radius: 4.92
[debug_bubble] Medium Entity: Meta, flag_w: 0, radius: 4.14
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 10.49
[debug_bubble] Large Entity: Microsoft, flag_drawn: 0, radius: 9.83
[debug_bubble] Large Entity: Google, flag_drawn: 0, radius: 8.36
[debug_bubble] Large Entity: Amazon, flag_drawn: 0, radius: 7.57
[debug_bubble] Medium Entity: Tesla, flag_w: 0, radius: 5.70
[debug_bubble] Medium Entity: Meta, flag_w: 0, radius: 4.50
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 11.40
[debug_bubble] Large Entity: Microsoft, flag_drawn: 0, radius: 10.64
[debug_bubble] Large Entity: Google, flag_drawn: 0, radius: 9.04
[debug_bubble] Large Entity: Amazon, flag_drawn: 0, radius: 8.23
[debug_bubble] Medium Entity: Tesla, flag_w: 0, radius: 6.52
[debug_bubble] Medium Entity: Meta, flag_w: 0, radius: 4.89
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 12.37
[debug_bubble] Large Entity: Microsoft, flag_drawn: 0, radius: 11.53
[debug_bubble] Large Entity: Google, flag_drawn: 0, radius: 9.61
[debug_bubble] Large Entity: Amazon, flag_drawn: 0, radius: 8.92
[debug_bubble] Medium Entity: Tesla, flag_w: 0, radius: 7.30
[debug_bubble] Medium Entity: Meta, flag_w: 0, radius: 5.53
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 12.97
[debug_bubble] Large Entity: Microsoft, flag_drawn: 0, radius: 12.24
[debug_bubble] Large Entity: Google, flag_drawn: 0, radius: 10.12
[debug_bubble] Large Entity: Amazon, flag_drawn: 0, radius: 9.72
[debug_bubble] Medium Entity: Tesla, flag_w: 0, radius: 7.49
[debug_bubble] Medium Entity: Meta, flag_w: 0, radius: 5.74
[debug_bubble] Large Entity: Apple, flag_drawn: 0, radius: 14.10
[debug_bubble] Large Entity: Microsoft, flag_drawn: 0, radius: 12.55
[debug_bubble] Large Entity: Google, flag_drawn: 0, radius: 10.76
[debug_bubble] Large Entity: Amazon, flag_drawn: 0, radius: 10.40
[debug_bubble] Large Entity: Tesla, flag_drawn: 0, radius: 7.95
[debug_bubble] Medium Entity: Meta, flag_w: 0, radius: 6.06
